%time,field.header.seq,field.header.stamp,field.header.frame_id,field.twist.linear.x,field.twist.linear.y,field.twist.linear.z,field.twist.angular.x,field.twist.angular.y,field.twist.angular.z
1526867883974904580,1907,1526867883967528178,world,-0.00176054122858,-0.00176054122858,-0.00176054122858,0.0,0.0,0.0
1526867883995289368,1908,1526867883988542766,world,-6.77325297147e-05,-6.77325297147e-05,-6.77325297147e-05,0.0,0.0,0.0
1526867884014680110,1909,1526867884008258034,world,0.00119636266027,0.00119636266027,0.00119636266027,0.0,0.0,0.0
1526867884035131134,1910,1526867884027991347,world,-0.00272726942785,-0.00272726942785,-0.00272726942785,0.0,0.0,0.0
1526867884054446854,1911,1526867884047779929,world,0.00442159036174,0.00442159036174,0.00442159036174,0.0,0.0,0.0
1526867884074795630,1912,1526867884068408343,world,-0.00347706233151,-0.00347706233151,-0.00347706233151,0.0,0.0,0.0
1526867884095219672,1913,1526867884088379423,world,-0.0018902461743,-0.0018902461743,-0.0018902461743,0.0,0.0,0.0
1526867884114477400,1914,1526867884108092278,world,0.000192936800886,0.000192936800886,0.000192936800886,0.0,0.0,0.0
1526867884134764281,1915,1526867884127974208,world,0.000848406343721,0.000848406343721,0.000848406343721,0.0,0.0,0.0
1526867884154397327,1916,1526867884147730284,world,-0.000731544045266,-0.000731544045266,-0.000731544045266,0.0,0.0,0.0
1526867884174774959,1917,1526867884167870953,world,0.00290048285387,0.00290048285387,0.00290048285387,0.0,0.0,0.0
1526867884195011200,1918,1526867884187761261,world,-0.00174747745041,-0.00174747745041,-0.00174747745041,0.0,0.0,0.0
1526867884214198324,1919,1526867884207587497,world,0.00194481643848,0.00194481643848,0.00194481643848,0.0,0.0,0.0
1526867884234687639,1920,1526867884228419742,world,-0.000240658060648,-0.000240658060648,-0.000240658060648,0.0,0.0,0.0
1526867884255117435,1921,1526867884248246977,world,0.00104296114296,0.00104296114296,0.00104296114296,0.0,0.0,0.0
1526867884274473268,1922,1526867884267937008,world,-0.000481551745906,-0.000481551745906,-0.000481551745906,0.0,0.0,0.0
1526867884294869760,1923,1526867884287857026,world,-0.000796052801888,-0.000796052801888,-0.000796052801888,0.0,0.0,0.0
1526867884315136453,1924,1526867884307869875,world,-0.00269424589351,-0.00269424589351,-0.00269424589351,0.0,0.0,0.0
1526867884334599273,1925,1526867884327822689,world,-0.00259121926501,-0.00259121926501,-0.00259121926501,0.0,0.0,0.0
1526867884354775315,1926,1526867884347798831,world,0.00168055016547,0.00168055016547,0.00168055016547,0.0,0.0,0.0
1526867884375177123,1927,1526867884367621237,world,0.00224751839414,0.00224751839414,0.00224751839414,0.0,0.0,0.0
1526867884394709629,1928,1526867884388375485,world,0.000404607737437,0.000404607737437,0.000404607737437,0.0,0.0,0.0
1526867884415141748,1929,1526867884408177584,world,-0.00228000851348,-0.00228000851348,-0.00228000851348,0.0,0.0,0.0
1526867884434547378,1930,1526867884428079150,world,0.000778251327574,0.000778251327574,0.000778251327574,0.0,0.0,0.0
1526867884454764257,1931,1526867884448081075,world,-0.00132738915272,-0.00132738915272,-0.00132738915272,0.0,0.0,0.0
1526867884475197666,1932,1526867884468046137,world,-0.000430928077549,-0.000430928077549,-0.000430928077549,0.0,0.0,0.0
1526867884494469927,1933,1526867884487828517,world,0.000616054632701,0.000616054632701,0.000616054632701,0.0,0.0,0.0
1526867884514861157,1934,1526867884507570497,world,-0.000646294269245,-0.000646294269245,-0.000646294269245,0.0,0.0,0.0
1526867884535085464,1935,1526867884528345857,world,-0.00221888558008,-0.00221888558008,-0.00221888558008,0.0,0.0,0.0
1526867884554536913,1936,1526867884548127185,world,0.00166819815058,0.00166819815058,0.00166819815058,0.0,0.0,0.0
