%time,field.header.seq,field.header.stamp,field.header.frame_id,field.orientation.x,field.orientation.y,field.orientation.z,field.orientation.w,field.orientation_covariance0,field.orientation_covariance1,field.orientation_covariance2,field.orientation_covariance3,field.orientation_covariance4,field.orientation_covariance5,field.orientation_covariance6,field.orientation_covariance7,field.orientation_covariance8,field.angular_velocity.x,field.angular_velocity.y,field.angular_velocity.z,field.angular_velocity_covariance0,field.angular_velocity_covariance1,field.angular_velocity_covariance2,field.angular_velocity_covariance3,field.angular_velocity_covariance4,field.angular_velocity_covariance5,field.angular_velocity_covariance6,field.angular_velocity_covariance7,field.angular_velocity_covariance8,field.linear_acceleration.x,field.linear_acceleration.y,field.linear_acceleration.z,field.linear_acceleration_covariance0,field.linear_acceleration_covariance1,field.linear_acceleration_covariance2,field.linear_acceleration_covariance3,field.linear_acceleration_covariance4,field.linear_acceleration_covariance5,field.linear_acceleration_covariance6,field.linear_acceleration_covariance7,field.linear_acceleration_covariance8
1526373854629981728,2626,1526373854629821878,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000312421987852,0.00187814988607,0.000934651728948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209860087233,-0.0109446857823,9.78892254174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854640433700,2627,1526373854640027174,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00157098468302,0.00184838594,-0.00070501318682,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019046208635,-0.00917073819728,9.77098737717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854646420631,2628,1526373854646273451,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000126513407442,0.000795464501401,0.000976059657691,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014587141393,-0.0129956709046,9.76691128314,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854656991525,2629,1526373854656522090,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00304355151976,0.000139629500193,8.39594489941e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0191407245363,-0.00488402563089,9.77508393645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854669300862,2630,1526373854669123718,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00364190712049,-0.0021604851431,-5.01635777683e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0164476283407,0.0151161385363,9.77300349712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854680253830,2631,1526373854680039450,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00180890327646,0.00239854924812,-0.000127667958645,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019432887747,-0.007278607763,9.78747418642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854686329470,2632,1526373854686195124,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015739427684,0.00126005087297,-0.000959982122982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00950645402831,-0.0212677668594,9.78076918423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854696546959,2633,1526373854696320906,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00162883691629,0.00220435695098,-0.000726873799243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0138019608299,-0.012471788933,9.78364952266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854706424580,2634,1526373854706282485,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000663265926101,0.000526557922076,0.000564862969064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0260860187374,0.00168156371903,9.81635241508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1526373854721200901,2635,1526373854721059711,crazyflie/base_link,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00253090315281,5.84661468418e-05,-0.000393632016417,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0209513228573,0.005356060958,9.81944793105,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
